"Add to Wishlist","Añadir a Mis Favoritos"
"Additional Information","Información adicional"
"Alert Urls","Direcciones URL de alerta"
"All","Todo"
"All Product Types","Todos los tipos de artículos"
"All Websites","Todos los sitios web"
"All products","Todos los artículos"
"All products - recently added products, New products - products marked as new","Todos los artículos - artículos añadidos recientemente, Nuevos artículos - artículos marcados como nuevos"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","¡Todos los artículos de este conjunto serán eliminados! ¿Estás seguro que quieres eliminar este conjunto de atributos?"
"Allow All Products per Page","Permitir todos los artículos por página"
"Allow Dynamic Media URLs in Products and Categories","Permitir direcciones URL multimedia dinámicas en artículos y categorías"
"Allow HTML Tags on Frontend","Permitir etiquetas HTML en la interfaz del cliente"
"Allowed File Extensions","Extensiones de archivo permitidas"
"Allowed file extensions to upload","Extensiones de archivo permitidas para la carga"
"Amount","Importe"
"An error occurred while adding products to websites.","Se produjo un error mientras se agregaban artículos a los sitios web."
"An error occurred while clearing comparison list.","Se produjo un error mientras se borraba la lista de comparación."
"An error occurred while deleting this review.","Se produjo un error al eliminar esta revisión."
"An error occurred while removing products from websites.","Se produjo un error mientras se eliminaban artículos de sitios web."
"An error occurred while saving the URL rewrite","Se produjo un error al guardar la URL reescrita"
"An error occurred while saving the attribute set.","Se produjo un error mientras se guardaba el conjunto de atributos."
"An error occurred while saving the collection, aborting. Error message: %s","Se produjo un error al guardar la recopilación, abortando. Mensaje de error: %s"
"An error occurred while saving the product. ","Se produjo un error mientras se guardaba el artículo."
"An error occurred while saving the search query.","Se produjo un error mientras se guardaba el enunciado de búsqueda."
"An error occurred while saving this group.","Se produjo un error mientras se guardaba este grupo."
"An error occurred while saving this review.","Se produjo un error al guardar esta revisión."
"An error occurred while trying to delete the category.","Se produjo un error mientras se intentaba eliminar la categoría."
"An error occurred while updating the product(s) attributes.","Se produjo un error al actualizar los atributos del artículo o artículos."
"An error occurred while updating the product(s) status.","Se produjo un error al actualizar el estado del artículo o artículos."
"An invalid group ID is specified, skipping the record.","Se ha especificado una identificación de grupo inválida, saltando el registro."
"An invalid option ID is specified for %s (%s), skipping the record.","Se especificó un ID de opción no válido para %s (%s). Se omitirá este registro."
"An invalid store was specified.","Se especificó una tienda no válida."
"Anchor Custom Text","Ancla Texto personalizado"
"Anchor Custom Title","Ancla Título personalizado"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Aplicable únicamente a las categorías y los artículos de catálogo. Todo el contenido multimedia se insertará en el editor como una dirección URL estática. No se actualiza si cambia la dirección URL básica de configuración del sistema."
"Apply MAP","Aplicar precio mínimo publicado"
"Apply MAP (Default Value)","Aplicar precio mínimo publicado (predeterminado)"
"Apply To","Aplicar a"
"Approved","Aprobado"
"Are you sure you want to delete this category?","¿Está seguro de que desea eliminar esta categoría?"
"Are you sure you would like to remove all products from your comparison?","¿Está seguro de que desea eliminar todos los artículos de la comparación?"
"Are you sure you would like to remove this item from the compare products?","¿Está seguro de que desea eliminar este artículo de los artículos de la comparación?"
"Are you sure?","¿Está seguro?"
"As low as:","Valor mínimo:"
"Assign","Asignar"
"Assign product link","Asignar enlace de artículo"
"Assign product to category","Asignar artículo a categoría"
"Assigned Products","Artículos asignados"
"Associated Products","Artículos asociados"
"Attrib. Set Name","Nombre de conjunto de atributos"
"Attribute ""%s"" is invalid.","El atributo ""%s"" es inválido."
"Attribute ""%s"" is required.","El atributo ""%s"" es requerido."
"Attribute Information","Información de atributo"
"Attribute Model","Modelo de atributo"
"Attribute Name:","Nombre de atributo:"
"Attribute Set","Conjunto de atributos"
"Attribute Sets","Conjunto de atributos"
"Attribute add","Añadir atributo"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","El código del atributo no es válido. Por favor, usa solo letras (a-z), números (0-9) o guion bajo (_) en este campo. El primer carácter debe ser una letra."
"Attribute group with the \/name/\"" name already exists""","El grupo de atributos con el ""\/name/\"" nombre ya existe."
"Attribute group with the \/name/\ name already exists","El grupo de atributos con el ""\/name/\"" nombre ya existe."
"Attribute group with the ""\/name/\"" name already exists","El grupo de atributos con el ""\/name/\"" nombre ya existe."
"Attribute remove","Eliminar atributo"
"Attribute with the same code already exists","Ya existe un atributo con el mismo código"
"Attributes","Atributos"
"Attribute names can be specified per store.","Pueden especificarse nombres de atributos por tienda."
"Attrribute names can be specified per store.","Pueden especificarse nombres de atributos por tienda."
"Autogenerate","Generar automáticamente"
"Availability:","Disponibilidad:"
"Back","Volver atrás"
"Backend Model","Administración del sitio modelo"
"Backend Table","Administración del sitio tabla"
"Backend Table Title","Administración del sitio título de la tabla"
"Backorders","Pedidos pendientes"
"Base Image Width","Vista detallada ancho"
"Based On","Basado en"
"Before Order Confirmation","Antes de la confirmación del pedido"
"Best Value","Mejor valor"
"Block after Info Column","Bloque posterior a la columna de información"
"Bottom Block Options Wrapper","Ajuste de opciones del bloque inferior"
"Bottom/Left","Inferior/izquierda"
"Bottom/Right","Inferior/derecha"
"Browse By","Navegar por"
"Bundle Items","Elementos en paquete"
"Buy %1$s","Comprar %1$s"
"Buy %1$s for","Comprar %1$s por el precio de"
"Buy %1$s for %2$s","Comprar %1$s por el precio de %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Comprar %1$s por el precio de %2$s (%3$s con impuestos incluidos) cada uno"
"Buy %1$s for %2$s each","Comprar %1$s por el precio de %2$s cada uno"
"Cache Lifetime (Seconds)","Ciclo de vida caché (segundos)"
"Cache refresh needed.","Caché necesita ser acualizado."
"Can be Divided into Multiple Boxes for Shipping","Puede dividirse en varias cajas para el envío."
"Can be used only with catalog input type Dropdown","Sólo puede utilizarse con el tipo de entrada de catálogo lista desplegable."
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Sólo puede utilizarse con los tipos de entrada de catálogo lista desplegable, selección múltiple y precio."
"Can\'t create image.","No se puede crear la imagen."
"Cancel","Cancelar"
"Cannot create image.","No se puede crear la imagen."
"Cannot create writeable directory '%s'.","No se puede crear el directorio con permiso de escritura '%s'."
"Cart Item Attribute","Atributo de artículo del carrito de compras"
"Catalog","Catálogo"
"Catalog Category (Anchor)","Categoría de catálogo (ancla)"
"Catalog Category (Non-Anchor)","Categoría de catálogo (sin ancla)"
"Catalog Category (Without Subcategories)","Categoría del catálogo (sin subcategorías)"
"Catalog Category Link","Enlace a la categoría de catálogo"
"Catalog New Products List","Lista de nuevos artículos del catálogo"
"Catalog Price Scope","Alcance del precio del catálogo"
"Catalog Product Compare List","Lista de comparación de artículos del catálogo"
"Catalog Product Email to a Friend","Enviar email a un amigo con el catálogo de artículos"
"Catalog Product Image Gallery Popup","Galería de imágenes emergente del catálogo de artículos"
"Catalog Product Link","Enlace al catálgo de artículos"
"Catalog Product View (Any)","Vista del catálogo de artículo (cualquiera)"
"Catalog Product View (Configurable)","Vista del catálogo de artículo (configurable)"
"Catalog Product View (Grouped)","Vista del catálogo de artículo (agrupada)"
"Catalog Product View (Simple)","Vista del catálogo de artículo (simple)"
"Catalog Product View (Virtual)","Vista del catálogo de artículo (virtual)"
"Catalog Section","Sección de Catálogo"
"Catalog Seo Sitemap (Category List)","Mapa del Sitio Catálogo Seo (lista de categorías)"
"Catalog Seo Sitemap (Category Tree)","Mapa del Sitio Catálogo Seo (árbol de categorías)"
"Catalog Seo Sitemap (Common)","Mapa del Sitio Catálogo Seo (común)"
"Catalog Seo Sitemap (Product List)","Mapa del Sitio Catálogo Seo (lista de artículos)"
"Catalog URL Rewrites","Nueva versión de URL de catálogo"
"Catalog product custom option values API","API para los valores de las opciones de personalización del artículo de catálogo"
"Catalog product custom options API","API para las opciones de personalización del artículo de catálogo"
"Catalog, Search","Catálogo, Búsqueda"
"Categories","Categorías"
"Categories Sitemap","Mapa del sitio para categorías"
"Category","Categoría"
"Category API","API categoría"
"Category Data","Datos de categoría"
"Category Flat Data","Datos planos de categoría"
"Category Link Block Template","Modelo del bloque de enlaces de categorías"
"Category Link Inline Template","Modelo de enlaces en línea a categorías"
"Category Products","Artículos de la categoría"
"Category Top Navigation","Navegación superior en categoría"
"Category URL Suffix","Sufijo URL de categoría"
"Category attributes API","API de atributos de categoría"
"Category move error","Error al mover categoría"
"Category move error %s","Error al mover la categoría %s"
"Category move operation is not possible: parent category is equal to child category.","La operación de mover categoría no es posible: categoría padre es igual a categoría niño."
"Category move operation is not possible: the current category was not found.","La operación de mover categoría no es posible: no se encontró la categoría actual."
"Category move operation is not possible: the new parent category was not found.","No es posible la operación de mover categoría: no se ha encontrado una nueva categoría de origen."
"Category must be an instance of Mage_Catalog_Model_Category.","La categoría debe ser una instancia de Mage_Catálogo_Modelo_Categoría."
"Center","Centro"
"Change","Cambio"
"Change or Retrieve attribute store view","Cambiar o recuperar la caracterísitica de vista de tienda"
"Change status","Cambiar estado"
"Check items to add to the cart or","Selecciona artículos a Agregar a bolsa o"
"Choose an Option...","Elegir una opción..."
"Clear All","Eliminar todo"
"Clear Price","Eliminar precio"
"Click for price","Clic para precio"
"Close Window","Cerrar ventana"
"Collapse All","Desplegar todo"
"Comma-separated.","Separados por comas."
"Comparable","Comparable"
"Comparable on Front-end","Comparable en la parte pública"
"Comparable on the Frontend","Comparable en la parte pública"
"Compare","Comparar"
"Compare Products","Comparar artículos"
"Conditions Combination","Combinación de condiciones"
"Configurable Product","Artículos configurables"
"Configurable Product Settings","Parametrización de artículo configurable"
"Configure Product","Configurar artículo"
"Continue","Continuar"
"Copy From Configurable","Copiar desde configurable"
"Country/State","País/Estado federado"
"Country of Manufacture","País de fabricación"
"Create","Crear"
"Create (Upload)","Crear (subir)"
"Create Empty","Crear artículo vacío"
"Create Permanent Redirect for URLs if URL Key Changed","Crear redirección permanente para las URL si cambia la clave de URL"
"Create Permanent Redirect for old URL","Crear redirección permanente para la antigua URL"
"Create Product Settings","Crear configuraciones de artículos"
"Create Simple Associated Product","Crear artículo simple asociado"
"Create attribute set based on another set","Crear conjunto de atributos basado en un conjunto ya existente."
"Create new attribute","Crear atributo"
"Create new category","Crear categoría"
"Create new product","Crear artículo"
"Cross-sells","Ventas cruzadas"
"Currently Shopping by:","Actualmente comprando por:"
"Custom Design","Diseño personalizado"
"Custom Options","Opciones personalizadas"
"Custom options","Opciones personalizadas"
"Customer Group","Grupo de clientes"
"Customers Reviews","Comentarios de clientes"
"Customers Tagged Product","Artículo etiquetado por los clientes"
"Data Type for Saving in Database","Tipo de datos para guardar en la base de datos"
"Date & Time Custom Options","Opciones personalizadas de fecha y hora"
"Date Fields Order","Ordenar por fecha"
"Date Subscribed","Fecha de suscripción"
"Datetime","Fecha/hora"
"Decimal","Decimal"
"Declare attribute value saving scope","Determinar el área de almacenamiento de los valores del atributo "
"Default ""What's This"" Text Message","""¿Qué es esto?"" mensaje (predeterminado)"
"Default Popup Text Message","Mensaje popup (predeterminado)"
"Default Price","Precio (predeterminado)"
"Default Price Navigation Step","Paso de navegación de precio por defecto"
"Default Qty","Cantidad (predeterminado)"
"Default Values","Valores (predeterminado)"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Definir el alcance de la divisa base (""Configuración de Divisas"" > ""Opciones de Divisas"" > ""Divisa Base"")."
"Delete","Eliminar"
"Delete Attribute","Eliminar atributo"
"Delete Attribute Set","Eliminar conjunto de atributos"
"Delete Category","Eliminar categoría"
"Delete Group Price","Eliminar precio de grupo"
"Delete Option","Eliminar opción"
"Delete Row","Eliminar fila"
"Delete Search","Eliminar búsqueda"
"Delete Selected Group","Eliminar grupo seleccionado"
"Delete Tier","Eliminar escalones de precios"
"Delete attribute","Eliminar atributo"
"Delete category","Eliminar categoría"
"Delete product","Eliminar artículo"
"Depends on design theme","Depende del tema de diseño"
"Description","Descripción"
"Design","Diseño"
"Details","Detalles"
"Disabled","Deshabilitado"
"Disallowed file type.","Tipo de archivo no aceptado."
"Display Actual Price","Mostrar precio actual"
"Display Page Control","Mostrar control de página"
"Display Price Interval as One Price","Mostrar intervalo de precios como un único precio"
"Display Product Count","Mostrar el número de artículo"
"Display Product Options In","Mostrar opciones de artículo en"
"Display Settings","Configuración del mostreo"
"Display Type","Tipo de visualización"
"Display in Suggested Terms","Mostrar en términos sugeridos"
"Double click on a group to rename it","Pinchar dos veces en un grupo para renombrarlo"
"Double click on above image to view full picture","Pinchar dos veces en la imagen superior para verla completa"
"Downloadable Information","Información descargable"
"Duplicate","Duplicar"
"Duplicate amount found.","Monto se encontró dos veces."
"Duplicate website group price customer group.","Doble entrada de precios de grupos para grupos de clientes en los sitios web."
"Duplicate website tier price customer group and quantity.","Doble entrada de precios de nivel para grupos de clientes y la cantidad en los sitios web."
"Duplicate website, country and state tax found.","Doble entrada de impuestos estatales en los sitios web."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","P. ej. {{media url=""path/to/imagen.jpg""}} {{skin url=""path/to/imagen.gif""}}. Directivas dinámicas tienen un impactos negativo al rendimiento de catálogo."
"Edit","Editar"
"Edit Attribute Set '%s'","Editar el conjunto de atributos ""%s"""
"Edit Product Attribute","Editar atributo del artículo"
"Edit Product Attribute ""%s""","Editar atributo del artículo ""%s"""
"Edit Search","Editar búsqueda"
"Edit Search '%s'","Editar búsqueda ""%s"""
"Edit Set Name","Editar nombre del conjunto"
"Email","Correo electrónico"
"Email to a Friend","Escribir un email a un amigo"
"Empty","Vacío(a)"
"Enable MAP","Habilitar MAP"
"Enable Qty Increments","Habilitar incrementos de cantidad"
"Enable Recurring Profile","Habilitar perfil recurrentes"
"Enable WYSIWYG","Habilitar WYSIWYG"
"Enable for reindexing a big number of SKUs.","Permite reindexar un gran número de SKU."
"Enabled","Habilitado"
"Error during retrieval of option value: %s","Error al recuperar el valor de la opción: %s"
"Exclude","Excluir"
"Expand All","Abrir todos"
"Failed","Fallado"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Error al copiar el archivo %s. Por favor, elimina los medios con imágenes no existentes e inténtalo de nuevo."
"Failed to move file: %s","Error al mover el fichero: %s"
"Feature Products","Presentar artículos"
"Field is not complete","No se ha completado el campo"
"File options format is not valid.","El formato de opciones de archivo no es válido."
"File upload failed","Fallo al cargar el archivo"
"Filter","Filtrar"
"Filter model name must be declared.","Debe indicarse el nombre del modelo de filtro."
"Filter must be an object. Please set correct filter.","El filtro tiene que ser un objeto. Por favor, establezca un filtro válido."
"Filterable (no results)","Filtrable (sin resultados)"
"Filterable (with results)","Filtrable (con resultados)"
"First Name","Nombre"
"Fixed","Fijo"
"For internal use.","Para uso interno."
"For the last time placed.","Para la última vez que se ha colocado."
"Frontend","Entrada"
"Frontend Model","Entrada Modelo"
"Frontend Properties","Entrada Propiedades"
"Gallery","Galería"
"General Information","Información general"
"Get full information about attribute with list of options","Obtener completa información sobre el atributo con lista de opciones"
"Get full information about custom option in product","Obtener toda la información sobre las opciones de personalización del artículo"
"Get list of available custom option types","Obtener una lista de los tipos de opciones de personalización disponibles"
"Get list of non-default attributes by product type and attributes set","Obtener lista de atributos no predeterminados por tipo de artículo y conjunto de atributos"
"Get list of possible attribute types","Obtener lista de tipos de atributos posibles"
"Get special price","Obtener un precio especial"
"Global","Global"
"Globally Editable","Editable globalmente"
"Go to Home Page","Ir a la página de inicio"
"Grid","Parrilla"
"Group Price","Precio según grupo de clientes"
"Group add","Añadir grupo"
"Group remove","Eliminar grupo"
"Grouped Product","Artículos agrupados"
"Groups","Grupos"
"Home","Inicio"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Si se deja en blanco, se usará el Nombre de Categoría"
"If empty, the Product Name will be used","Si está vacío se utilizará el nombre del artículo"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Si usted no especifica un valor de opción para una vista de tienda concreta, entonces se usará el valor por defecto (Admin)."
"Image","Imagen"
"Image content is not valid base64 data.","El contenido de imagen no es un dato base64 válido."
"Image does not exist.","La imagen no existe."
"Image file was not found.","No se ha encontrado el fichero de la imagen."
"Image type and information need to be specified for each store view.","Se necesita especificar el tipo de imagen y la información para cada vista de tienda."
"In Cart","Carrito"
"In Stock","En stock"
"In stock","En existencias"
"Incl. Tax","Impuestos incluidos"
"Index product and categories URL rewrites","Indexar las nuevas versiones de las URL de artículos y categorías"
"Index product attributes for layered navigation building","Indexar las características de artículo para construir una navegación en capas"
"Index product prices","Indexar los precios de artículos"
"Indexed category/products association","Asociación categoría/artículos indexada"
"Info","Información"
"Info Column Options Wrapper","Envoltorio de las opciones de columna de información"
"Input Type","Introducir tipo"
"Integer","Entero"
"Interval Division Limit","Límite de división de intervalo"
"Invalid Tier Prices","Precios de capa no válidos"
"Invalid attribute %s","Atributo %s inválido"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Se especificó una opción de atributo no válida para el atributo %s (%s). Se omitirá el registro."
"Invalid attribute set specified, skipping the record.","Se especificó un conjunto de atributos no válido. Se omitirá el registro."
"Invalid block: %s.","Bloque inválido: %s."
"Invalid category IDs.","ID de categoría no válidos."
"Invalid category.","Categoría no válida."
"Invalid image file type.","Tipo de imagen no válido."
"Invalid image type.","Tipo de imagen no válido."
"Invalid option ID specified for %s (%s), skipping the record.","Se especificó un ID de opción no válido para %s (%s). Se omitirá el registro."
"Invalid product type specified, skipping the record.","Se ha especificado un tipo de artículo no válido. Saltando el registro."
"Invalid store specified","Se especificó una tienda no válida"
"Invalid store specified, skipping the record.","Se especificó una tienda no válida. Se omitirá el registro."
"Invalid tier prices. The product is not associated to the requested website.","Precios de nivel no válidos. El artículo no está asociado a la página web solicitada."
"Inventory","Inventario"
"Is Default","Es por defecto"
"Is Required","Es requerido"
"Items %s to %s of %s total","Elementos %s a %s de un total de %s"
"Items %1 to %2 of %3 total","Elementos %s a %s de un total de %s"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Los artículos que no quieres mostrar en el catálogo o en los resultados de búsqueda deberían tener el estado ""Inhabilitado"" en la tienda solicitada."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Los artículos que no desee ver en el catálogo o en los resultados de búsqueda deben tener el estado 'Desactivado' en la tienda correspondiente."
"Keep your eyes open for our special Back to School items and save A LOT!","Esté atento a nuestros artículos especiales para el comienzo de clases y AHORRE."
"Label","Etiqueta"
"Last Name","Apellidos"
"Last Notification","Última notificación"
"Layered Navigation","Navegación en capas"
"Learn More","Más información"
"Line %d, Email: %s","Línea %d, correo electrónico: %s"
"Line %d, SKU: %s","Línea %d, código de artículo (SKU): %s"
"Link (Related, Up sell, Cross sell)","Enlace (relacionado, venta adicional, venta cruzada)"
"Link product does not exist.","El artículo de enlace no existe."
"Link to a Specified Category","Enlace a una categoría específica"
"Link to a Specified Product","Enlace a un artículo específico"
"List","Lista"
"List Mode","Modo de lista"
"List of Products that are set as New","Lista de artículos marcados como nuevos"
"List of types","Lista de tipos"
"Manage Attribute Sets","Gestionar conjuntos de atributos"
"Manage Attributes","Gestionar atributos"
"Manage Catalog Categories","Gestionar categorías del catálogo"
"Manage Categories","Gestionar categorías"
"Manage Label / Options","Gestionar etiquetas y opciones"
"Manage Options (values of your attribute)","Gestionar opciones (valores del atributo)"
"Manage Product Attributes","Gestionar atributos del artículo"
"Manage Product Sets","Gestionar conjuntos de artículos"
"Manage Products","Gestionar artículos"
"Manage Stock","Gestionar existencias"
"Manage Titles (Size, Color, etc.)","Gestionar títulos (tamaño, color, etc.)"
"Manufacturer's Suggested Retail Price","Precio de venta sugerido por el fabricante"
"Max Characters","Número máximos de caractéres"
"Maximal Depth","Profundidad máxima"
"Maximum Image Size","Tamaño máximo de la imagen"
"Maximum Number of Price Intervals","Número máximo de intervalos de precios"
"Maximum Qty Allowed in Shopping Cart","Cantidad máxima de pedido"
"Maximum allowed image size for '%s' is %sx%s px.","Tamaño máximo de imagen permitido para '%s' es %sx%s px."
"Maximum image height","Altura máxima de la imagen"
"Maximum image width","Anchura máxima de la imagen"
"Maximum number of characters:","Número máximo de caracteres:"
"Maximum number of price intervals is 100","Número máximo de intervalos de precios es 100."
"Maximum width base product image will be scaled down to in pixels","Maximum width base product image will be scaled down to in pixels"
"Maximum width small product image will be scaled down to in pixels","Maximum width small product image will be scaled down to in pixels"
"Media Image","Imagen multimedia"
"Middle Name","Segundo nombre"
"Minimum Advertised Price","Precio mínimo anunciado"
"Minimum Lines per Page","Cant. mínima de líneas por página"
"Minimum Qty Allowed in Shopping Cart","Cantidad mínima de pedido"
"Minimum Qty for Item\'s Status to be Out of Stock","Cant. mínima para que el estado del artículo pase a ""Sin inventario"""
"Missing SKU, skipping the record.","Falta el código de artículo (SKU). Se omitirá el registro."
"More Views","Más vistas"
"Move","Mover"
"Move category in tree","Mover la categoría en el árbol"
"Multi update product","Multiactualización de artículos"
"Must be in the allowed values list.","Debe estar en la lista de valores permitidos."
"My Account","Mi cuenta"
"N/A","N/D"
"Name","Nombre"
"Name in %s","Nombre en %s"
"New Category","Nueva categoría"
"New Product","Nuevo artículo"
"New Product Attribute","Nuevo atributo de artículo"
